fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Shanelle Dyer,2001-04-23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England, Montserrat, Nigeria",female,women's strawweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,13,2512,2512,2347,2026-03-21,W - Ravena Oliveira,2026-03-21,W - Ravena Oliveira,NA,NA
Dusko Todorovic,1994-05-19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Serbia,male,middleweight,16,NA,16,NA,16,16,10,4,3 KO 1 Sub 0 Dec,6,4 KO 0 Sub 2 Dec,1,1,2,5.6,2507,2762,2611,2020-10-03,W - Dequan Townsend,2025-09-13,W - Jose Medina,2026-08-01,Robert Valentin
Felipe Franco,2001-01-22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"light heavyweight, heavyweight",16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,9,2507,2507,2778,2026-03-21,L - Mario Pinto,2026-03-21,L - Mario Pinto,2026-07-18,Levi Rodrigues Jr.
Cameron Saaiman,2000-12-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,South Africa,male,bantamweight,16,NA,16,NA,16,16,6,3,2 KO 0 Sub 1 Dec,3,2 KO 0 Sub 1 Dec,-3,3,1,9,2505,2728,2620,2022-12-10,W - Steven Koslow,2025-04-26,L - Malcolm Wellmaker,NA,NA
Anshul Jubli,1995-01-13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,India,male,lightweight,16,NA,16,NA,16,16,3,1,1 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,1,1,9.3,2503,2724,2625,2023-02-04,W - Jeka Saragih,2025-02-08,L - Quillan Salkilld,NA,NA
Andre Petroski,1991-06-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,13,8,1 KO 2 Sub 5 Dec,5,4 KO 0 Sub 1 Dec,-3,5,0,8.5,2503,2918,2642,2021-08-28,W - Micheal Gillmore,2026-05-16,L - Cody Brundage,NA,NA
Leon Shahbazyan,1995-11-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Armenia, United States",male,welterweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,10,2500,2500,2865,2026-06-20,L - Levan Chokheli,2026-06-20,L - Levan Chokheli,NA,NA
Nora Cornolle,1989-12-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Algeria, France",female,women's bantamweight,13,NA,16,NA,12,16,6,3,1 KO 1 Sub 1 Dec,3,0 KO 1 Sub 2 Dec,-2,2,0,10.2,2497,2703,2571,2023-09-02,W - Joselyne Edwards,2026-02-21,L - Joselyne Edwards,NA,NA
Jose Souza,2002-05-23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,8,2497,2497,2673,2026-05-30,W - Ding Meng,2026-05-30,W - Ding Meng,NA,NA
Shane Collins,2000-03-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,12,2490,2490,2475,2026-06-20,W - Otari Tanzilovi,2026-06-20,W - Otari Tanzilovi,NA,NA
Trevor Peek,1995-01-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,5,2,1 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,-2,1,1,6.6,2486,2713,2590,2023-02-25,W - Erick Gonzalez,2024-09-07,L - Yanal Ashmouz,NA,NA
Luana Pinheiro,1992-11-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,9,16,7,3,0 KO 0 Sub 2 Dec,4,1 KO 1 Sub 2 Dec,-4,3,0,7,2485,2673,2646,2021-05-01,W - Randa Markos,2025-05-17,L - Tecia Pennington,NA,NA
Rafael Tobias,2003-03-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,light heavyweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,11,2484,2484,2511,2026-03-07,L - Diyar Nurgozhay,2026-03-07,L - Diyar Nurgozhay,NA,NA
Julien Leblanc,1992-01-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,middleweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,7,2482,2482,2512,2026-04-18,L - Robert Valentin,2026-04-18,L - Robert Valentin,NA,NA
Junior Tafa,1996-09-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Samoa",male,light heavyweight,16,NA,16,NA,16,16,9,3,3 KO 0 Sub 0 Dec,6,2 KO 3 Sub 1 Dec,-1,1,1,6.9,2481,2581,2611,2023-04-22,L - Mohammed Usman,2026-06-06,L - Iwo Baraniewski,NA,NA
Alex Reyes,1986-10-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, welterweight",16,NA,16,NA,16,16,3,0,0 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,-3,-1,0,7.3,2480,2663,2726,2017-09-16,L - Mike Perry,2024-08-17,L - Tom Nolan,NA,NA
Allen Frye Jr.,1998-04-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,11,2479,2479,2531,2025-12-13,L - Guilherme Pat,2025-12-13,L - Guilherme Pat,2026-07-18,Alvin Hines
Michael Aswell Jr.,2000-09-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,4,1,1 KO 0 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,-2,1,0,6.2,2478,2658,2652,2025-05-31,L - Bolaji Oki,2026-06-20,L - Gaston Bolanos,NA,NA
Gable Steveson,2000-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2474,NA,2319,NA,NA,NA,NA,2026-07-11,Elisha Ellison
Daria Zhelezniakova,1996-01-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,female,women's bantamweight,16,NA,16,NA,15,16,4,2,0 KO 0 Sub 2 Dec,2,0 KO 1 Sub 1 Dec,-1,1,0,10,2471,2596,2567,2024-03-23,W - Montserrat Rendon,2026-04-18,L - Melissa Croden,NA,NA
Ibo Aslan,1996-04-23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Turkey,male,light heavyweight,16,NA,16,NA,16,16,5,2,2 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,2,1,9,2467,2793,2619,2024-03-30,W - Anton Turkalj,2025-12-06,L - Iwo Baraniewski,NA,NA
Sofia Montenegro,1999-06-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,female,women's flyweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,2465,NA,NA,NA,NA,NA,NA,NA,NA
Artur Minev,2003-09-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Bulgaria, Ukraine",male,lightweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,8,2457,2457,2627,2026-05-16,L - Thomas Gantt,2026-05-16,L - Thomas Gantt,NA,NA
Toshiomi Kazama,1997-05-15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,bantamweight,16,NA,16,NA,16,16,4,1,0 KO 1 Sub 0 Dec,3,3 KO 0 Sub 0 Dec,-1,1,1,7.5,2454,2489,2568,2023-02-04,L - Rinya Nakamura,2025-08-09,L - Elijah Smith,NA,NA
Gilbert Urbina,1996-04-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,"middleweight, welterweight",16,NA,16,NA,16,16,4,1,1 KO 0 Sub 0 Dec,3,2 KO 1 Sub 0 Dec,-2,1,0,6.5,2454,2597,2654,2021-08-28,L - Bryan Battle,2025-08-09,L - Uros Medic,2026-08-01,Vlasto Cepo
Theodor Berggren,2000-04-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Sweden,male,welterweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2451,NA,2941,NA,NA,NA,NA,2026-06-27,Daniil Donchenko
Juliana Miller,1996-05-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, United States",female,women's flyweight,16,NA,16,NA,16,16,5,2,1 KO 0 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,-1,1,0,11.6,2440,2611,2472,2022-08-06,W - Brogan Walker,2026-02-21,L - Carli Judice,2026-08-08,Ravena Oliveira
Jose Montanha,1996-08-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,NA,,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2440,NA,2610,NA,NA,NA,NA,2026-08-08,Louie Sutherland
Yuneisy Duben,1996-07-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Venezuela,female,women's flyweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,12,2432,2432,2435,2025-03-15,L - Carli Judice,2026-06-06,L - Jeisla Chaves,NA,NA
Melissa Mullins,1991-07-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",female,women's bantamweight,16,NA,16,NA,15,16,5,2,1 KO 0 Sub 1 Dec,3,1 KO 1 Sub 1 Dec,-2,1,0,9.6,2422,2618,2565,2023-10-14,W - Irina Alekseeva,2026-06-20,L - Bia Mesquita,NA,NA
Yi Sak Lee,2000-01-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,middleweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,7,2422,2422,2561,2026-05-30,L - Luis Dias de Assis,2026-05-30,L - Luis Dias de Assis,NA,NA
Josiane Nunes,1993-12-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,"women's bantamweight, women's featherweight",16,NA,16,NA,13,16,6,3,1 KO 0 Sub 2 Dec,3,1 KO 0 Sub 2 Dec,-3,3,1,10,2420,2708,2498,2021-08-21,W - Bea Malecki,2025-03-15,L - Priscila Cachoeira,NA,NA
Ben Johnston,1990-10-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,middleweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,11,2420,2420,2484,2026-05-02,L - Wes Schultz,2026-05-02,L - Wes Schultz,NA,NA
Karolina Kowalkiewicz,1985-10-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,female,women's strawweight,16,NA,16,NA,2,16,19,9,0 KO 1 Sub 8 Dec,10,2 KO 2 Sub 6 Dec,-3,4,1,5.6,2414,2784,2622,2015-12-19,W - Randa Markos,2025-10-11,L - Julia Polastri,NA,NA
Max Gimenis,1993-04-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,heavyweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,9,2407,2407,2485,2025-11-08,L - Josh Hokit,2025-11-08,L - Josh Hokit,2026-08-01,Jovan Leka
Stewart Nicoll,1994-11-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Solomon Islands",male,flyweight,16,NA,16,NA,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,-1,0,10,2402,2543,2664,2024-08-17,L - Jesus Aguilar,2026-04-04,L - Alessandro Costa,2026-07-18,Alden Coria
Pete Rodriguez,1996-11-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,3,1,1 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-1,1,0,9,2401,2483,2534,2022-01-22,L - Jack Della Maddalena,2024-02-03,L - Themba Gorimbo,NA,NA
Nick Klein,1995-09-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,8.5,2398,2490,2615,2025-02-22,L - Mansur Abdul-Malik,2025-08-02,L - Andrey Pulyaev,NA,NA
Mickey Gall,1992-01-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,13,6,0 KO 5 Sub 1 Dec,7,3 KO 0 Sub 4 Dec,-4,3,0,7.4,2390,2714,2609,2016-02-06,W - Mike Jackson,2024-11-16,L - Ramiz Brahimaj,NA,NA
Sedriques Dumas,1995-08-06,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,9,3,0 KO 0 Sub 3 Dec,5,2 KO 3 Sub 0 Dec,-2,2,0,9.6,2390,2695,2610,2023-03-11,L - Josh Fremd,2026-04-25,L - Jackson McVey,NA,NA
Puja Tomar,1993-12-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,India,female,women's strawweight,16,NA,16,NA,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 1 Sub 0 Dec,-1,1,0,12.5,2390,2506,2482,2024-06-08,W - Rayanne dos Santos,2025-03-22,L - Shauna Bannon,NA,NA
Manolo Zecchini,1996-10-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Italy,male,featherweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,1,5.5,2388,2422,2687,2023-09-02,L - Morgan Charriere,2026-04-04,L - Tommy McMillen,NA,NA
Roberto Romero,2000-01-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,"featherweight, lightweight",16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,10.5,2386,2474,2723,2024-11-16,L - David Onama,2025-04-26,L - Timmy Cuamba,NA,NA
Tainara Lisboa,1991-03-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's bantamweight,16,NA,16,NA,15,16,4,2,0 KO 1 Sub 1 Dec,2,1 KO 1 Sub 0 Dec,-2,2,0,9.8,2385,2591,2482,2023-05-13,W - Jessica-Rose Clark,2025-10-18,L - Melissa Croden,NA,NA
Angel Pacheco,1992-01-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,9.5,2380,2405,2706,2024-03-30,L - Caolan Loughran,2026-02-28,L - Santiago Luna,NA,NA
Ernesta Kareckaite,1998-07-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Lithuania,female,women's flyweight,16,NA,16,NA,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,-1,1,1,11,2376,2437,2562,2024-05-04,L - Dione Barbosa,2026-02-28,L - Regina Tarin,NA,NA
Ollie Schmid,2000-12-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Hungary, New Zealand, United States",male,featherweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,4,2376,2376,2821,2026-05-02,L - Marwan Rahiki,2026-05-02,L - Marwan Rahiki,NA,NA
Josias Musasa,1998-10-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,DR Congo,male,bantamweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,-1,0,9,2374,2483,2535,2025-03-15,L - Carlos Vera,2025-09-28,L - Colby Thicknesse,2026-08-01,Mark Vologdin
Shauna Bannon,1993-10-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Ireland,female,women's strawweight,16,NA,16,NA,16,16,5,2,0 KO 1 Sub 1 Dec,3,0 KO 2 Sub 1 Dec,-2,2,1,13,2367,2565,2520,2023-07-22,L - Bruna Brasil,2026-05-16,L - Nicolle Caliari,NA,NA
Kevin Christian,1995-01-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,light heavyweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,0,7.5,2365,2492,2539,2025-11-01,L - Billy Elekana,2026-05-02,L - Junior Tafa,NA,NA
Jovan Leka,2002-03-15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Serbia,male,heavyweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2365,NA,2407,NA,NA,NA,NA,2026-08-01,Max Gimenis
Saimon Oliveira,1991-04-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,bantamweight,16,NA,16,NA,16,16,4,0,0 KO 0 Sub 0 Dec,4,2 KO 1 Sub 1 Dec,-4,-1,0,10,2360,2498,2693,2022-01-22,L - Tony Gravely,2025-10-11,L - Luan Lacerda,NA,NA
Ricky Turcios,1993-06-05,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Philippines, El Salvador, United States",male,"featherweight, bantamweight",16,NA,16,NA,16,16,6,2,0 KO 0 Sub 2 Dec,4,0 KO 2 Sub 2 Dec,-3,1,0,6.5,2357,2738,2563,2021-08-28,W - Brady Hiestand,2026-03-07,L - Alberto Montes,NA,NA
Vanessa Demopoulos,1988-09-22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Greece, United States",female,"women's flyweight, women's strawweight",16,NA,16,NA,16,16,10,5,0 KO 1 Sub 4 Dec,5,0 KO 1 Sub 4 Dec,-3,3,1,10.3,2350,2603,2541,2021-08-28,L - JJ Aldrich,2025-06-14,L - Jamey-Lyn Horth,NA,NA
Marnic Mann,1993-03-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's strawweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,10.5,2349,2421,2605,2023-09-16,L - Josefine Knutsson,2024-04-27,L - Ketlen Souza,NA,NA
Otari Tanzilovi,1998-04-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Georgia,male,featherweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,12,2343,2343,2358,2026-06-20,L - Shane Collins,2026-06-20,L - Shane Collins,NA,NA
Polyana Viana,1992-06-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,15,16,12,4,1 KO 3 Sub 0 Dec,8,1 KO 4 Sub 3 Dec,-4,2,2,8.6,2338,2615,2499,2018-02-03,W - Maia Kahaunaele,2026-05-16,L - Alice Ardelean,NA,NA
Rayanne dos Santos,1995-06-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,-3,-1,1,11.3,2332,2515,2427,2023-12-09,L - Talita Alencar,2025-05-31,L - Alice Ardelean,NA,NA
Priscila Cachoeira,1988-08-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's bantamweight,16,NA,16,NA,16,16,14,5,4 KO 0 Sub 1 Dec,9,1 KO 5 Sub 3 Dec,-3,2,3,9.4,2325,2605,2526,2018-02-03,L - Valentina Shevchenko,2026-06-06,L - Chelsea Chandler,NA,NA
Elisha Ellison,1997-03-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,11,2319,2319,2453,2025-09-28,L - Brando Pericic,2025-09-28,L - Brando Pericic,2026-07-11,Gable Steveson
Montserrat Conejo Ruiz,1993-02-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,female,women's strawweight,16,NA,16,NA,16,16,5,1,0 KO 0 Sub 1 Dec,4,3 KO 0 Sub 1 Dec,-4,1,0,8.2,2297,2582,2565,2021-03-20,W - Cheyanne Vlismas,2025-11-01,L - Alice Ardelean,NA,NA
Sean Sharaf,1993-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,1,9,2291,2329,2515,2024-10-12,L - Junior Tafa,2025-12-13,L - Steven Asplund,NA,NA
Hailey Cowan,1992-02-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's bantamweight,16,NA,16,NA,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,-1,0,11.3,2284,2402,2572,2023-04-29,L - Jamey-Lyn Horth,2026-04-04,L - Alice Pereira,2026-08-01,Nikolija Milosevic
Ravena Oliveira,1997-02-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,"women's strawweight, women's bantamweight",16,NA,16,NA,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,-1,0,10.3,2273,2406,2479,2023-10-14,L - Tainara Lisboa,2026-03-21,L - Shanelle Dyer,2026-08-08,Juliana Miller
